trace_id,duration_seconds,input_tokens,output_tokens,total_tokens,web_agent_input_tokens,web_agent_output_tokens,web_agent_total_tokens,state_synthesis_input_tokens,state_synthesis_output_tokens,state_synthesis_total_tokens,metadata
01e0111bc69eb998f0cf429a0c883929,165.453628,168171.0,3715.0,171886.0,137734.0,3283.0,141017.0,30437.0,432.0,30869.0,"{""session"": ""infinium"", ""variables"": {""address"": ""200 Frank H Ogawa Plz, Oakland, CA"", ""zip_code"": ""94612"", ""name_f"": ""Calvin"", ""name_l"": ""Navarro"", ""phone_num"": ""0406787535"", ""email"": ""ryan93@example.net""}}"
031280d73e044902020d6db5c8d07c4c,126.43327,155987.0,3604.0,159591.0,125111.0,3168.0,128279.0,30876.0,436.0,31312.0,"{""session"": ""pointbroadband"", ""variables"": {""address"": ""1700 Jefferson St, Oakland, CA"", ""zip_code"": ""94612""}}"
08dd5053499de06334ddb078be7939e6,79.941701,93133.0,1633.0,94766.0,70508.0,1286.0,71794.0,22625.0,347.0,22972.0,"{""session"": ""goenergynet"", ""variables"": {""address"": ""200 Frank H Ogawa Plz, Oakland, CA"", ""zip_code"": ""94612"", ""name_f"": ""Johnathan"", ""name_l"": ""Velazquez"", ""phone_num"": ""4757338220"", ""email"": ""rebeccalee@example.com""}}"
1433bdfd37f894bbcf2b601bafdd6c3f,130.302504,146540.0,3408.0,149948.0,115257.0,2898.0,118155.0,31283.0,510.0,31793.0,"{""session"": ""teammidwest"", ""variables"": {""address"": ""17th St, Oakland, CA"", ""zip_code"": ""94612""}}"
17f10f2fe1c936dd86c9cacbbe9d6355,82.692155,95555.0,1624.0,97179.0,71741.0,1305.0,73046.0,23814.0,319.0,24133.0,"{""session"": ""buckeyebroadband"", ""variables"": {""address"": ""9683 MILLCROFT RD, PERRYSBURG, OH, 43551""}}"
216afb5f699afe30cecd0242dcbcb554,85.392168,96943.0,2925.0,99868.0,73130.0,2629.0,75759.0,23813.0,296.0,24109.0,"{""session"": ""buckeyebroadband"", ""variables"": {""address"": ""7847 BRAEBURN RD, HOLLAND, OH, 43528""}}"
227bde82fdd48939772ee37a6da7ce14,85.086315,92688.0,1636.0,94324.0,69887.0,1329.0,71216.0,22801.0,307.0,23108.0,"{""session"": ""pointbroadband"", ""variables"": {""address"": ""17th St, Oakland, CA"", ""zip_code"": ""94612""}}"
2c9b746337eef42c72be8b2e2f113899,84.973599,95984.0,1744.0,97728.0,72170.0,1432.0,73602.0,23814.0,312.0,24126.0,"{""session"": ""buckeyebroadband"", ""variables"": {""address"": ""3698 RIDGEDALE LN , LAMBERTVILLE, MI, 48144""}}"
343c4f16724cdbcc7e99812f319af94d,116.013549,125815.0,3260.0,129075.0,103325.0,2918.0,106243.0,22490.0,342.0,22832.0,"{""session"": ""etex"", ""variables"": {""address"": ""1625 Clay St, Oakland, CA"", ""zip_code"": ""94612"", ""name_f"": ""Tracey"", ""name_l"": ""Cole"", ""phone_num"": ""8441565306"", ""email"": ""tammyduarte@example.org""}}"
407409d2f820856e4befebfc9ee90f39,76.491266,93170.0,1772.0,94942.0,70572.0,1444.0,72016.0,22598.0,328.0,22926.0,"{""session"": ""goenergynet"", ""variables"": {""address"": ""1625 Clay St, Oakland, CA"", ""zip_code"": ""94612"", ""name_f"": ""Jason"", ""name_l"": ""Craig"", ""phone_num"": ""1382590408"", ""email"": ""cookhaley@example.org""}}"
495ac252c14cc5956b5408af46132318,102.354224,104223.0,2118.0,106341.0,81480.0,1801.0,83281.0,22743.0,317.0,23060.0,"{""session"": ""ozarkfiber"", ""variables"": {""address"": ""1625 Clay St, Oakland, CA"", ""zip_code"": ""94612""}}"
4a092019db11eb5521e3960cff2dd7ae,77.452043,84275.0,1500.0,85775.0,69477.0,1321.0,70798.0,14798.0,179.0,14977.0,"{""session"": ""pointbroadband"", ""variables"": {""address"": ""1625 Clay St, Oakland, CA"", ""zip_code"": ""94612""}}"
523e8082c3b2449b5f35e70a262e58f9,125.217391,143757.0,3041.0,146798.0,113503.0,2595.0,116098.0,30254.0,446.0,30700.0,"{""session"": ""etex"", ""variables"": {""address"": ""1605 Clay St, Oakland, CA"", ""zip_code"": ""94612"", ""name_f"": ""Alexandra"", ""name_l"": ""Bush"", ""phone_num"": ""6689150966"", ""email"": ""kelseygoodwin@example.com""}}"
550d03fe60721f9e1de47b8c27777135,165.973474,168558.0,3676.0,172234.0,137467.0,3226.0,140693.0,31091.0,450.0,31541.0,"{""session"": ""peariver"", ""variables"": {""address"": ""1605 Clay St, Oakland, CA"", ""zip_code"": ""94612"", ""name_f"": ""Richard"", ""name_l"": ""Stafford"", ""phone_num"": ""2416607394"", ""email"": ""marydavis@example.net""}}"
55156cf1e141ebffbbf3525842deaabc,160.165679,163494.0,3465.0,166959.0,125538.0,2909.0,128447.0,37956.0,556.0,38512.0,"{""session"": ""etex"", ""variables"": {""address"": ""200 Frank H Ogawa Plz, Oakland, CA"", ""zip_code"": ""94612"", ""name_f"": ""Samantha"", ""name_l"": ""Wilson"", ""phone_num"": ""1281940142"", ""email"": ""xsullivan@example.net""}}"
58c4e5760777708363c3a8bd786a08e0,131.197411,145993.0,3297.0,149290.0,114694.0,2823.0,117517.0,31299.0,474.0,31773.0,"{""session"": ""teammidwest"", ""variables"": {""address"": ""1605 Clay St, Oakland, CA"", ""zip_code"": ""94612""}}"
